Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.8809523809523809,0.8333333333333334,0.3191489361702128,0.46153846153846156,0.7964510293737618
CatBoost,0.8707482993197279,0.7142857142857143,0.3191489361702128,0.4411764705882353,0.7981738306486347
LightGBM,0.8673469387755102,0.6818181818181818,0.3191489361702128,0.43478260869565216,0.7705228701869239
Random Forest,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.34285714285714286,0.792488586441554
Support Vector Machine,0.8299319727891157,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.7582048410715824
Decision Tree,0.782312925170068,0.32653061224489793,0.3404255319148936,0.3333333333333333,0.6034111465242484
Logistic Regression,0.7653061224489796,0.35526315789473684,0.574468085106383,0.43902439024390244,0.7957619088638127
